City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
110,Nome,US,64.5,-165.41,19.0,78,75,4.7,broken clouds
111,Ronda,ES,36.74,-5.17,62.01,46,0,1.7,clear sky
112,Astana,KZ,51.18,71.45,30.2,86,90,6.71,overcast clouds
113,Fort Nelson,CA,58.81,-122.7,10.4,85,75,4.7,light snow
114,Richards Bay,ZA,-28.78,32.04,67.57,92,38,6.55,scattered clouds
115,Kavaratti,IN,10.57,72.64,81.93,68,0,3.47,clear sky
116,Porkhov,RU,57.77,29.56,42.8,81,100,13.42,overcast clouds
117,Jilib,SO,0.49,42.79,75.9,88,100,4.0,overcast clouds
118,Cidreira,BR,-30.18,-50.21,62.71,76,0,7.56,clear sky
119,Calvinia,ZA,-31.47,19.78,69.31,26,23,2.51,few clouds
120,Lorengau,PG,-2.02,147.27,84.45,69,2,2.48,clear sky
121,Tasiilaq,GL,65.61,-37.64,30.2,50,0,2.24,clear sky
122,Akbarpur,IN,26.42,82.55,66.81,34,0,5.14,clear sky
123,Manaure,CO,11.78,-72.44,83.44,76,100,11.77,light rain
124,Barra Do Garcas,BR,-15.89,-52.26,81.46,54,75,5.08,broken clouds
125,Santa Rosa,PH,14.31,121.11,78.8,94,20,2.24,few clouds
126,Mareeba,AU,-17.0,145.43,84.99,69,23,11.41,few clouds
127,Surgut,RU,61.25,73.42,24.8,100,75,6.71,broken clouds
128,Bandar-E Lengeh,IR,26.56,54.88,71.6,78,0,4.7,haze
129,Nikolskoye,RU,59.7,30.79,43.0,87,90,13.42,overcast clouds
130,Chivacoa,VE,10.16,-68.89,86.0,48,29,8.05,light rain
131,Lebu,CL,-37.62,-73.65,53.33,85,73,11.63,broken clouds
132,Khatanga,RU,71.97,102.5,11.7,96,100,6.58,light snow
133,Bluff,NZ,-46.6,168.33,57.99,74,74,1.99,broken clouds
134,Thinadhoo,MV,0.53,72.93,82.58,75,99,8.43,moderate rain
135,Berlevag,NO,70.86,29.09,41.0,80,75,27.51,broken clouds
136,Tazovskiy,RU,67.47,78.7,17.91,98,95,10.69,overcast clouds
137,Mertoyudan,ID,-7.52,110.23,70.41,87,51,0.67,broken clouds
138,Mahebourg,MU,-20.41,57.7,69.8,73,75,4.7,shower rain
139,Buhe,CN,30.29,112.23,55.76,56,64,6.17,broken clouds
140,Urdoma,RU,61.75,48.54,27.12,96,0,8.1,clear sky
141,Labuhan,ID,-6.88,112.21,78.33,84,100,7.2,overcast clouds
142,Garissa,KE,-0.45,39.64,78.21,65,66,15.23,broken clouds
143,Bayanday,RU,53.07,105.51,22.1,84,100,2.62,overcast clouds
144,Ancud,CL,-41.87,-73.82,55.99,81,75,9.17,broken clouds
145,Mount Isa,AU,-20.73,139.5,84.2,17,1,1.12,clear sky
146,Wagar,SD,16.15,36.2,80.67,52,30,10.49,scattered clouds
147,Arandis,NA,-22.42,14.97,59.0,88,6,3.0,clear sky
148,Comodoro Rivadavia,AR,-45.87,-67.5,73.4,43,0,4.7,clear sky
149,Namatanai,PG,-3.67,152.43,84.42,72,8,3.18,clear sky
150,Nantucket,US,41.28,-70.1,39.2,48,40,25.28,scattered clouds
151,Shulan,CN,44.42,126.95,22.78,80,97,11.79,overcast clouds
152,Mirnyy,RU,62.54,113.96,8.6,78,20,8.95,light snow
153,Nakambala,ZM,-15.83,27.78,73.54,54,0,7.36,clear sky
154,Palmer,US,42.16,-72.33,35.6,43,20,21.92,few clouds
155,Amahai,ID,-3.33,128.92,82.99,93,100,3.0,overcast clouds
156,Moron,AR,-34.65,-58.62,71.01,30,14,5.99,few clouds
