City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
97,Yar-Sale,RU,2020-11-02 18:50:35,66.83,70.83,18.63,93,6,8.01
98,Sobolevo,RU,2020-11-02 18:50:35,54.43,31.9,44.26,92,96,3.69
99,Grand-Santi,GF,2020-11-02 18:50:35,4.25,-54.38,78.66,90,100,4.56
100,Dzilam Gonzalez,MX,2020-11-02 18:50:35,21.28,-88.93,80.98,68,58,13.18
101,Georgetown,MY,2020-11-02 18:50:36,5.41,100.34,78.8,88,20,3.4
102,Krasnyy Kut,RU,2020-11-02 18:50:36,50.95,46.97,45.46,64,26,4.41
103,Zhigansk,RU,2020-11-02 18:50:36,66.77,123.37,-0.4,92,100,21.14
104,Muzhi,RU,2020-11-02 18:50:36,65.37,64.67,20.98,94,0,8.84
105,Lincolnton,US,2020-11-02 18:50:36,35.47,-81.25,54.0,14,1,5.82
106,Narrabri,AU,2020-11-02 18:50:36,-30.32,149.78,55.4,66,0,8.05
107,Berlevag,NO,2020-11-02 18:50:36,70.86,29.09,35.6,93,75,25.28
108,Sitka,US,2020-11-02 18:47:28,57.05,-135.33,42.8,81,90,9.17
109,Talara,PE,2020-11-02 18:50:37,-4.58,-81.27,77.0,65,0,12.75
110,Olafsvik,IS,2020-11-02 18:50:37,64.89,-23.71,39.6,78,99,20.42
111,Kruisfontein,ZA,2020-11-02 18:50:37,-34.0,24.73,66.0,85,0,1.99
112,Port Lincoln,AU,2020-11-02 18:50:37,-34.73,135.87,72.05,31,77,16.84
113,Touros,BR,2020-11-02 18:50:37,-5.2,-35.46,84.2,70,40,18.34
114,Bethel,US,2020-11-02 18:48:15,41.37,-73.41,41.0,41,20,20.8
115,Santa Lucia,ES,2020-11-02 18:46:14,27.91,-15.54,73.4,73,20,19.46
116,Bambous Virieux,MU,2020-11-02 18:50:37,-20.34,57.76,71.6,68,75,11.41
117,Taoudenni,ML,2020-11-02 18:50:38,22.68,-3.98,84.18,15,100,7.25
118,Khatanga,RU,2020-11-02 18:50:38,71.97,102.5,12.67,96,100,8.43
119,The Valley,AI,2020-11-02 18:50:38,18.22,-63.06,84.99,74,40,18.34
120,Hambantota,LK,2020-11-02 18:50:38,6.12,81.12,77.0,100,90,4.7
121,Belica,BG,2020-11-02 18:50:38,41.96,23.57,54.0,54,100,1.01
122,Ponta Do Sol,PT,2020-11-02 18:50:39,32.67,-17.1,70.0,73,75,8.05
123,Lavrentiya,RU,2020-11-02 18:50:39,65.58,-171.0,19.47,88,0,4.38
124,Marsh Harbour,BS,2020-11-02 18:49:01,26.54,-77.06,75.97,80,93,29.86
125,Along,IN,2020-11-02 18:50:39,28.17,94.77,65.17,89,46,1.14
126,New Norfolk,AU,2020-11-02 18:47:31,-42.78,147.06,62.01,58,100,3.22
127,Chuy,UY,2020-11-02 18:50:39,-33.7,-53.46,65.8,63,70,8.99
128,Dawson Creek,CA,2020-11-02 18:50:39,55.77,-120.24,60.8,36,1,13.87
129,Puerto Carreno,CO,2020-11-02 18:50:39,6.19,-67.49,87.46,61,84,5.23
130,Hamilton,US,2020-11-02 18:48:42,39.18,-84.53,48.99,31,1,9.17
131,Mikkeli,FI,2020-11-02 18:50:40,61.69,27.27,42.8,87,90,14.99
